pmid,articlepubdate,articletype,pmidsrcs,meshheadings,meshsubheadings,meshcodes,cids,sids,articletitle,articleabstract,articlejourname,articleauth,articleaffil,citation,dois,annotation
21842637,20110501,article,mesh,"Cordyceps,Microscopy",classification,D032661 Q000145 NY,NULL,NULL,[Studies on macroscopic and microscopic identification of Cordyceps sinensis and its counterfeits],"OBJECTIVE: To provide a rapid, simple, accurate and reproducible identification method from which Cordyceps sinensis can be distinguished from other species. METHOD: To observe the larva and stroma of Cordyceps family with macroscopic identification method, and with powder microscopic identification method. RESULT AND CONCLUSION: For macroscopic, only stroma of C. sinensis is mostly non-inflated, and un-obtuse at the tip, the caterpillar annulations of C. sinensis and the C. gracilis is distinct, about 20-3",Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,"Siutsau Chan, Baoling Liu, Zhongzhen Zhao, Markin Lam, Kwokwai Law, Hubiao Chen","Chinese Medicine Division, Department of Health, Hong Kong 852, China. siutsau@163.com",2011 May; 36(9):1141-4,NULL,NULL
24953133,20140701,article,mesh,"Cordyceps,Culture Media,Fruiting Bodies, Fungal,Gene Expression Profiling,Genes, Fungal,Real-Time Polymerase Chain Reaction,Reference Standards,Spores, Fungal","genetics,metabolism,standards","D013172 Q000235 NN,D013172 Q000378 NN,D020869 Q000592 NY,D032661 Q000235 NY,D032661 Q000378 NN,D048690 Q000235 NN,D048690 Q000378 NN",NULL,NULL,Reliable reference gene selection for Cordyceps militaris gene expression studies under different developmental stages and media,"Cordyceps militaris is considered a model organism for the study of Cordyceps species, which are highly prized in traditional Chinese medicine. Gene expression analysis has become more popular and important in studies of this fungus. Reference gene validation under different experimental conditions is crucial for RT-qPCR analysis. In this study, eight candidate reference genes, actin, cox5, gpd, rpb1, tef1, try, tub, and ubi, were selected and their expression stability was evaluated in C. militaris samples",FEMS microbiology letters,"Tiantian Lian, Tao Yang, Guijun Liu, Junde Sun, Caihong Dong","State Key Laboratory of Mycology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China; College of Land and Environment, Shenyang Agricultural University, Shenyang, China.",2014 Jul; 356(1):97-104,10.1111/1574-6968.12492,NULL
27274781,20160101,article,mesh,"Animals,Antineoplastic Agents,Blood Glucose,Blood Urea Nitrogen,Body Weight,Cordyceps,Cytokines,Diabetes Mellitus, Experimental,Enzyme-Linked Immunosorbent Assay,Fruit,Glucose Tolerance Test,Hypoglycemic Agents,Kidney,Lipids,Male,Plant Extracts,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Streptozocin","analysis,blood,chemically induced,chemistry,drug effects,drug therapy,metabolism,pathology,pharmacology,therapeutic use,toxicity","D000970 Q000633 NN,D000970 Q000737 NN,D001786 Q000032 NN,D001835 Q000187 NN,D003921 Q000139 NN,D003921 Q000188 NY,D003921 Q000473 NN,D005638 Q000378 NN,D005638 Q000737 NN,D007004 Q000494 NN,D007004 Q000627 NY,D007004 Q000737 NN,D007668 Q000378 NN,D007668 Q000473 NN,D008055 Q000097 NN,D010936 Q000494 NN,D010936 Q000627 NY,D010936 Q000737 NN,D013311 Q000633 NN,D016207 Q000032 NN,D017382 Q000378 NN,D032661 Q000378 NN,D032661 Q000737 NY","5299,5300,29327,2733335,6420074,6713972,7067772,23615975,45357367",NULL,Antidiabetic and Antinephritic Activities of Aqueous Extract of Cordyceps militaris Fruit Body in Diet-Streptozotocin-Induced Diabetic Sprague Dawley Rats,"Cordyceps militaris has long been used as a crude drug and folk tonic food in East Asia. The present study aims to evaluate the antidiabetic and antinephritic effects of the aqueous extract of the Cordyceps militaris fruit body (CM) in diet-streptozotocin- (STZ-) induced diabetic rats. During four weeks of continuous oral administration of CM at doses of 0.5, 1.0, and 2.0 g/kg and metformin at 100 mg/kg, the fasting blood glucose and bodyweight of each rat were monitored. Hypoglycemic effects of CM on diabe",Oxidative medicine and cellular longevity,"Chungang Liu, Jingjing Song, Meiyu Teng, Xiaoyi Zheng, Xiangmei Li, Yue Tian, Minlian Pan, Yuhuan Li, Robert J Lee, Di Wang","School of Life Sciences, Jilin University, Changchun 130012, China. Division of Nephrology, School of Medicine, Stanford University, Palo Alto, CA 94305, USA. School of Life Sciences, Jilin University, Changchun 130012, China; Division of Pharmaceutics, College of Pharmacy, The Ohio State University, Columbus, OH 43210, USA.",2016; 2016(?):9685257,10.1155/2016/9685257,NULL
28267517,20170501,article,mesh,"Apoptosis,Cell Line,Cordyceps,Hepatocytes,Humans,Membrane Potential, Mitochondrial,Mitochondria,Polysaccharides,Receptors, Tumor Necrosis Factor, Type I,Tumor Necrosis Factor-alpha","adverse effects,chemistry,drug effects,metabolism,pathology,pharmacology","D008928 Q000473 NY,D011134 Q000494 NY,D014409 Q000009 NN,D022781 Q000187 NY,D032661 Q000737 NY,D047888 Q000378 NN",NULL,NULL,Effects of cultured Cordyceps mycelia polysaccharide A on tumor neurosis factor-α induced hepatocyte injury with mitochondrial abnormality,"Cordyceps sinensis mycelia polysaccharide A (CPS-A), was isolated from cultured Cordyceps mycelia by 65% alcohol extraction and ion-exchange column chromatography. The molecular weight of CPS-A was 1.2×104Da and the backbone was mainly composed of (1→2)-linked β-d-mannopyranose, (1→2,4)-linked β-d-mannopyranose and (1→4)-linked α-d-glucopyranose with terminal β-d-mannopyranose and α-d-glucopyranose residues. CPS-A played a protective role against TNF-α induced mitochondria injury in L02 cells via up-regulat",Carbohydrate polymers,"Huiling Tang, Weikun Wei, Wang Wang, Zhengqi Zha, Ting Li, Zhijie Zhang, Chen Luo, Hongping Yin, Fengjie Huang, Ying Wang","School of Life Science and Technology, State Key Laboratory of Natural Medicines, China Pharmaceutical University, Nanjing 210009, People's Republic of China; Department of Pharmacy, Jiangsu Food & Pharmaceutical Science College, Huaian 223003, People's Republic of China. School of Life Science and Technology, State Key Laboratory of Natural Medicines, China Pharmaceutical University, Nanjing 210009, People's Republic of China. Basic Medical College, Nanjing University of Chinese Medicine, Nanjing 210046, P",2017 May; 163(?):43-53,10.1016/j.carbpol.2017.01.019,NULL
30924317,20190901,article,mesh,"Antibiotics, Antineoplastic,Cordyceps,Culture Media,Deoxyadenosines,Gene Expression Profiling,Metabolic Networks and Pathways,Mycelium","genetics,growth & development,metabolism","D000903 Q000378 NY,D003839 Q000378 NY,D025282 Q000254 NY,D025282 Q000378 NY,D032661 Q000254 NY,D032661 Q000378 NY,D053858 Q000235 NN",6303,NULL,Metabolic comparison of aerial and submerged mycelia formed in the liquid surface culture of Cordyceps militaris,"An entomopathogenic fungus, Cordyceps sp. has been known to produce cordycepin which is a purine nucleoside antimetabolite and antibiotic with potential anticancer, antioxidant and anti-inflammatory activities. Interestingly, Cordyceps militaris produces significantly higher amount in a liquid surface culture than in a submerged culture. The liquid surface culture consists of mycelia growing into the air (aerial mycelia) and mycelia growing toward the bottom into the medium (submerged mycelia). In this stud",MicrobiologyOpen,"Ahmad Suparmin, Tatsuya Kato, Hiroyuki Takemoto, Enoch Y Park","Department of Bioscience, Graduate School of Science and Technology, Shizuoka University, Suruga-ku, Shizuoka, Japan. Laboratory of Biotechnology, Green Chemistry Research Division, Research Institute of Green Science and Technology, Shizuoka University, Suruga-ku, Shizuoka, Japan. Instrumental Research Support Office, Department of Bioscience, Graduate School of Science and Technology, Shizuoka University, Suruga-ku, Shizuoka, Japan.",2019 09; 8(9):e00836,10.1002/mbo3.836,NULL
15261384,20040701,article,"xref,mesh","Acetic Acid,Animals,Anti-Inflammatory Agents,Capillary Permeability,Cordyceps,Croton Oil,Dose-Response Relationship, Drug,Edema,Erythrocytes,Female,Hemolysis,Hypersensitivity, Delayed,Male,Mice,Mice, Inbred ICR,Phagocytosis,Phytotherapy,Plant Extracts,Polysaccharides","administration & dosage,chemically induced,drug effects,pharmacology,prevention & control,therapeutic use","D000893 Q000008 NN,D000893 Q000494 NY,D000893 Q000627 NN,D002199 Q000187 NY,D004487 Q000139 NN,D004487 Q000517 NY,D004912 Q000187 NN,D006968 Q000517 NN,D010587 Q000187 NY,D010936 Q000008 NN,D010936 Q000494 NY,D010936 Q000627 NN,D011134 Q000008 NN,D011134 Q000494 NY,D011134 Q000627 NN","176,702,5988","127700385,128482492,129071275",Isolation and biological properties of polysaccharide CPS-1 from cultured Cordyceps militaris,"A polysaccharide from the water extract of cultured Cordyceps militaris was isolated through ethanol precipitation, deproteination and gel-filtration chromatography. Their molecular weight was determined using gel-filtration chromatography. The structure of polysaccharide CPS-1 was elucidated by sugar analysis, Smith degradation, IR and 13C-NMR spectroscopy. CPS-1 was shown to possess a significant antiinflammatory activity and suppressed the humoral immunity in mice but had no significant effects on the ce",Fitoterapia,"Rongmin Yu, Liyan Song, Yu Zhao, Wen Bin, Lei Wang, Hui Zhang, Yihang Wu, Wencai Ye, Xinsheng Yao","Department of Natural Products Chemistry, College of Pharmacy, Jinan University, 510632, Guangzhou, China. rongminyu99@hotmail.com",2004 Jul; 75(5):465-72,10.1016/j.fitote.2004.04.003,NULL
18306104,20080101,article,mesh,"Administration, Oral,Animals,Cordyceps,Cytokines,Endotoxins,Interferon-gamma,Listeriosis,Macrophage Activation,Macrophages,Male,Mice,Mice, Inbred Strains,Mitogen-Activated Protein Kinase Kinases,Receptors, Pattern Recognition,Tissue Extracts,Water","administration & dosage,chemistry,drug effects,drug therapy,immunology,metabolism,pharmacology,therapeutic use","D004731 Q000276 NN,D007371 Q000494 NN,D008088 Q000188 NN,D008264 Q000187 NY,D014020 Q000008 NN,D014020 Q000494 NY,D014020 Q000627 NN,D014867 Q000737 NN,D016207 Q000378 NY,D020929 Q000378 NN,D032661 Q000737 NY,D051192 Q000187 NN",962,NULL,Immune activation by a sterile aqueous extract of Cordyceps sinensis: mechanism of action,"Cordyceps sinensis is a fungus that has been used for over 2,000 years in China as a treatment for a variety of conditions including infectious diseases. The available evidence suggests a hypothesis that any efficacy of C. sinensis as an anti-infective therapeutic would be related to a role as an activator of innate immune responses. The objectives of this study were first to investigate the ability of C. sinensis to activate pro-inflammatory responses in macrophages in vitro and induce protective responses",Immunopharmacology and immunotoxicology,"J L Jordan, A M Sullivan, T D G Lee","Department of Pathology, Dalhousie University, Halifax, Nova Scotia, Canada.",2008; 30(1):53-70,10.1080/08923970701812332,NULL
19261928,20090601,article,mesh,"Cell Differentiation,Cell Proliferation,Chromatography, High Pressure Liquid,Cordyceps,Dendritic Cells,Humans,Interleukin-12,Interleukin-1beta,Interleukin-6,Lipopolysaccharides,Phenotype,Th1 Cells,Th2 Cells,Tumor Necrosis Factor-alpha","biosynthesis,cytology,drug effects,immunology,metabolism,pharmacology","D002454 Q000187 NN,D003713 Q000166 NY,D003713 Q000187 NN,D003713 Q000276 NN,D008070 Q000494 NN,D014409 Q000096 NN,D015850 Q000096 NN,D018417 Q000166 NN,D018417 Q000187 NN,D018417 Q000276 NN,D018418 Q000166 NN,D018418 Q000187 NN,D018418 Q000276 NN,D018664 Q000096 NN,D032661 Q000378 NY,D049109 Q000187 NN,D053583 Q000096 NN",NULL,NULL,Two-sided effect of Cordyceps sinensis on dendritic cells in different physiological stages,"Cordyceps sinensis (CS), a Chinese tonifying herb, has been widely used for centuries in Asian countries as a medicine and a health supplement. Although ample evidence indicates that CS can modulate immune responses, the functional effect of CS on dendritic cells (DCs) is still unclear. This study examines how CS affects human monocyte-derived DCs in two physiological states: naïve and LPS-induced inflammatory. Our experimental results demonstrate that CS acts as an activator and maturation inducer of immat",Journal of leukocyte biology,"Chia-Yang Li, Chi-Shiun Chiang, Min-Lung Tsai, Ruey-Shyang Hseu, Wun-Yi Shu, Chun-Yu Chuang, Yuh-Chang Sun, Yuan-Shiun Chang, Jaung-Geng Lin, Chih-Sheng Chen, Ching-Lung Huang, Ian C Hsu","National Tsing Hua University, 101, Section 2, Kuang-Fu Road, Hsinchu 30013, Taiwan.",2009 Jun; 85(6):987-95,10.1189/jlb.0908573,NULL
22806024,20120501,article,xref,"Animals,Antioxidants,Bombyx,Cell Proliferation,Chelating Agents,Chromatography, Gas,Chromatography, Gel,Chromatography, Ion Exchange,Cordyceps,Free Radical Scavengers,Leukocytes, Mononuclear,Mice,Oryza,Polysaccharides,Pupa,Spectroscopy, Fourier Transform Infrared","chemistry,drug effects,growth & development,isolation & purification,microbiology,pharmacology","D000975 Q000302 NY,D000975 Q000494 NN,D000975 Q000737 NY,D002614 Q000302 NN,D002614 Q000494 NN,D002614 Q000737 NN,D007963 Q000187 NN,D011134 Q000302 NY,D011134 Q000494 NN,D011134 Q000737 NY,D011679 Q000382 NN,D012275 Q000382 NN,D012831 Q000382 NN,D016166 Q000302 NN,D016166 Q000494 NN,D016166 Q000737 NN,D032661 Q000254 NY,D032661 Q000737 NY,D049109 Q000187 NN",702,128482492,Comparison of the structural characterization and biological activity of acidic polysaccharides from Cordyceps militaris cultured with different media,"Two acidic polysaccharide fractions, CM-jd-CPS2 and CM-jd(Y)-CPS2, were isolated from the fruiting bodies of cultured Cordyceps militaris grown on solid rice medium and silkworm pupa, respectively, by hot-water extraction, ethanol precipitation and fractionation using ion-exchange column (DEAE-cellulose-52) and gel-filtration column (Sephadex G-100) chromatography. Their structural characterizations were performed by gas chromatography and fourier-transform infrared spectroscopy. Some differences existed be",World journal of microbiology & biotechnology,"Fengyao Wu, Hui Yan, Xiaoning Ma, Junqiang Jia, Guozheng Zhang, Xijie Guo, Zhongzheng Gui","Jiangsu University of Science and Technology, Zhenjiang 212018, China.",2012 May; 28(5):2029-38,10.1007/s11274-012-1005-6,NULL
23944072,20130501,article,mesh,"Cordyceps,Proteins,Solubility",chemistry,"D011506 Q000737 NY,D032661 Q000737 NY",NULL,NULL,[Preliminary study on correlation between diversity of soluble proteins and producing area of Cordyceps sinensis],"To analyze the content and type of soluble proteins in Cordyceps sinensis from different producing areas and processed with different methods with bradford method and 2-DE technology, in order to discover significant differences in soluble proteins in C. sinensis processed with different methods and from different producing areas. The preliminary study indicated that the content and diversity of soluble proteins were related to producing areas and processing methods to some extent.",Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,"Yan Ren, Yi Qiu, De-Guang Wan, Xian-Ming Lu, Jin-Lin Guo","Key Laboratory of Standardization of Chinese Medicine, Ministry of Education, Chengdu University of Traditional Chinese Medicine, Chengdu 611137, China. guo596@163.com",2013 May; 38(9):1375-7,NULL,NULL
24726408,20140502,article,mesh,"Antiviral Agents,Cell Line, Tumor,Cordyceps,Deoxyadenosines,Dietary Supplements,Drugs, Chinese Herbal,Ergosterol,Fungal Capsules,Hepacivirus,Humans,Interferon-alpha,Oral Health,RNA, Viral,Ribavirin,Virus Replication","biosynthesis,chemistry,drug effects,pharmacology","D000998 Q000494 NY,D003839 Q000494 NY,D004365 Q000494 NY,D004875 Q000494 NN,D012254 Q000494 NN,D012367 Q000096 NN,D014779 Q000187 NN,D016174 Q000187 NY,D016898 Q000494 NN,D032661 Q000737 NY","5064,6303,37542,444679,6436872",NULL,Anti-HCV activity of the Chinese medicinal fungus Cordyceps militaris,"Persistent hepatitis C virus (HCV) infection causes chronic liver diseases and is a global health problem. Although the sustained virologic response rate in the treatment of genotype 1 using new triple therapy (pegylated-interferon, ribavirin, and telaprevir/boceprevir) has been improved by more than 70%, several severe side effects such as skin rash/ageusia and advanced anemia have become a problem. Under these circumstances, a new type of anti-HCV oral drug with few side effects is needed. Our recently de",Biochemical and biophysical research communications,"Youki Ueda, Kyoko Mori, Shinya Satoh, Hiromichi Dansako, Masanori Ikeda, Nobuyuki Kato","Department of Tumor Virology, Okayama University Graduate School of Medicine, Dentistry, and Pharmaceutical Sciences, 2-5-1 Shikata-cho, Okayama 700-8558, Japan. Department of Tumor Virology, Okayama University Graduate School of Medicine, Dentistry, and Pharmaceutical Sciences, 2-5-1 Shikata-cho, Okayama 700-8558, Japan. Electronic address: nkato@md.okayama-u.ac.jp.",2014 May; 447(2):341-5,10.1016/j.bbrc.2014.03.150,NULL
24750744,20120620,article,mesh,"Animals,Antioxidants,Catalase,Cell Proliferation,Cordyceps,Cyclophosphamide,Fruiting Bodies, Fungal,Fungal Polysaccharides,Glutathione Peroxidase,Immunologic Factors,Immunosuppression,Immunosuppressive Agents,Kidney,Liver,Lymphocytes,Macrophages,Male,Malondialdehyde,Mice, Inbred BALB C,Myocardium,Phagocytosis,Spleen,Superoxide Dismutase,Thymus Gland","drug effects,metabolism,pharmacology,physiology","D000975 Q000494 NY,D002374 Q000378 NN,D003520 Q000494 NN,D005979 Q000378 NN,D007155 Q000494 NY,D007166 Q000494 NN,D007668 Q000187 NN,D007668 Q000378 NN,D008099 Q000187 NN,D008099 Q000378 NN,D008214 Q000187 NN,D008214 Q000502 NN,D008264 Q000187 NN,D008264 Q000502 NN,D008315 Q000378 NN,D009206 Q000378 NN,D010587 Q000187 NN,D013154 Q000187 NN,D013482 Q000378 NN,D013950 Q000187 NN,D049109 Q000187 NN,D062610 Q000494 NY","2907,10964,22420",NULL,Cordyceps militaris polysaccharides can enhance the immunity and antioxidation activity in immunosuppressed mice,"To evaluate the immune activation and reactive oxygen species scavenging activity of Cordyceps militaris polysaccharides (CMP) in vivo, 90 male BALB/c mice were randomly divided into six groups. The mice in the three experimental groups were given cyclophosphamide at 80 mg/kg/d via intraperitoneal injection and 17.5, 35, or 70 mg/kg body weight CMP via gavage. The lymphocyte proliferation, phagocytic index, and biochemical parameters were measured. The results show that the administration of CMP was able to",Carbohydrate polymers,"Mi Wang, Xin Yu Meng, Rui Le Yang, Tao Qin, Xiao Yang Wang, Ke Yu Zhang, Chen Zhong Fei, Ying Li, Yuan liang Hu, Fei Qun Xue","Institute of Traditional Chinese Veterinary Medicine, College of Veterinary Medicine, Nanjing Agricultural University, Nanjing 210095, PR China; Department of Pharmacy, Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Shanghai 200241, PR China. Institute of Traditional Chinese Veterinary Medicine, College of Veterinary Medicine, Nanjing Agricultural University, Nanjing 210095, PR China.",2012 Jun; 89(2):461-6,10.1016/j.carbpol.2012.03.029,NULL
26202360,20150101,article,mesh,"Acute Lung Injury,Animals,Bleomycin,Cordyceps,Female,Mice,Mice, Inbred BALB C,MicroRNAs,Plant Extracts,Receptors, Interleukin-8B","chemically induced,chemistry,genetics,metabolism,pharmacology,prevention & control,toxicity","D001761 Q000633 NN,D010936 Q000494 NY,D023063 Q000235 NN,D023063 Q000378 NY,D032661 Q000737 NY,D035683 Q000235 NY,D055371 Q000139 NN,D055371 Q000378 NN,D055371 Q000517 NY","72466,84068,456190,5360373,5460769,5496539,5496540,21864427,46930981,46930982,54608728,54758599,57336513,71587153,102601374,122172957,133562634,138107267",NULL,Cordyceps Militaris Alleviates Severity of Murine Acute Lung Injury Through miRNAs-Mediated CXCR2 Inhibition,"BACKGROUND/AIMS: Acute lung injury (ALI) and acute respiratory distress syndrome (ARDS) are lethal diseases in humans, and the current treatments have limited therapeutic effects. Cordyceps militaris (CM) is a caterpillar-grown traditional medicinal mushroom, and has been used as a natural invigorant for longevity, endurance, and vitality in China. Recently, purified extracts from CM have been shown to have beneficial effects on various diseases including cancer. Nevertheless, a role of CM in ALI has not be","Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology","Sheng Liu, Jian Tang, Lei Huang, Qirong Xu, Xiang Ling, Jichun Liu","Department of Cardiothoracic Surgery, the First Affiliated Hospital of Nanchang University, Nanchang, China.",2015; 36(5):2003-11,10.1159/000430168,NULL
26427112,20150801,article,mesh,"Adult,Aged,Contrast Media,Cordyceps,Coronary Angiography,Diabetes Mellitus, Type 2,Diabetic Nephropathies,Drugs, Chinese Herbal,Female,Humans,Male,Middle Aged,Renal Insufficiency,Young Adult","administration & dosage,adverse effects,chemistry,complications,etiology,prevention & control,surgery","D003287 Q000009 NY,D003924 Q000150 NY,D003924 Q000601 NN,D003928 Q000209 NN,D003928 Q000517 NY,D004365 Q000008 NY,D032661 Q000737 NY,D051437 Q000150 NY,D051437 Q000601 NN",NULL,NULL,Effect of Dongchongxiacao (Cordyceps) therapy on contrast-induced nephropathy in patients with type 2 diabetes and renal insufficiency undergoing coronary angiography,"OBJECTIVE: To study the protective effects of Dongchongxiacao (Cordyceps) (DCXC) on contrast-induced nephropathy (CIN) in patients with type 2 diabetes and renal insufficiency undergoing coronary angiography. METHODS: A total of 120 patients with type 2 diabetes whose estimated glomerular filtration rater (eGFR) was 60 mL/min · 1.73 in2, were divided randomly into three groups, basic treatment group (n = 41), standard DCXC therapy group (n = 39, 2-g corbrin capsules, 3 times/d, 3 days before and after angio",Journal of traditional Chinese medicine = Chung i tsa chih ying wen pan,"Zhao Kai, Li Yongjian, Gao Sheng, Lin Yu",NULL,2015 Aug; 35(4):422-7,10.1016/s0254-6272(15)30119-9,NULL
26512632,20151023,article,mesh,"Biotransformation,Cordyceps,Culture Media,Ginsenosides,Hydrogen-Ion Concentration,Hydrolysis,Metabolic Networks and Pathways,Mycelium","biosynthesis,growth & development,isolation & purification,metabolism","D025282 Q000254 NN,D025282 Q000378 NY,D032661 Q000254 NN,D032661 Q000378 NY,D036145 Q000096 NY,D036145 Q000302 NN,D036145 Q000378 NY","3086007,5481990,9852086,9898279,75001312",NULL,Highly Selective Bioconversion of Ginsenoside Rb1 to Compound K by the Mycelium of Cordyceps sinensis under Optimized Conditions,"Compound K (CK), a highly active and bioavailable derivative obtained from protopanaxadiol ginsenosides, displays a wide variety of pharmacological properties, especially antitumor activity. However, the inadequacy of natural sources limits its application in the pharmaceutical industry. In this study, we firstly discovered that Cordyceps sinensis was a potent biocatalyst for the biotransformation of ginsenoside Rb1 into CK. After a series of investigations on the biotransformation parameters, an optimal co","Molecules (Basel, Switzerland)","Wei-Nan Wang, Bing-Xiong Yan, Wen-Di Xu, Ye Qiu, Yun-Long Guo, Zhi-Dong Qiu","School of Pharmaceutical Sciences, Changchun University of Chinese Medicine, Changchun 130117, China. cnweinanwang@163.com. School of Pharmaceutical Sciences, Changchun University of Chinese Medicine, Changchun 130117, China. ybx10528@163.com. School of Pharmaceutical Sciences, Changchun University of Chinese Medicine, Changchun 130117, China. 15584452505@163.com. School of Pharmaceutical Sciences, Changchun University of Chinese Medicine, Changchun 130117, China. ccqy19890810@163.com. School of Pharmaceuti",2015 Oct; 20(10):19291-309,10.3390/molecules201019291,NULL
26685672,20160501,article,mesh,"Cordyceps,Culture Media,Enzymes,Fermentation,Hydrogen-Ion Concentration,Polysaccharides,Temperature","biosynthesis,chemistry,growth & development,metabolism","D003470 Q000737 NN,D004798 Q000378 NY,D011134 Q000096 NY,D032661 Q000254 NN,D032661 Q000378 NY",NULL,NULL,Influence of fermentation conditions on polysaccharide production and the activities of enzymes involved in the polysaccharide synthesis of Cordyceps militaris,"The influence of different fermentation conditions on intracellular polysaccharide (IPS) production and activities of the phosphoglucomutase (PGM), UDPG-pyrophosphorylase (UGP), phosphoglucose isomerase (PGI), UDPG-dehydrogenase (UGD), and glucokinase (GK) implicated in metabolite synthesis in Cordyceps militaris was evaluated. The highest IPS production (327.57 ± 6.27 mg/100 mL) was obtained when the strain was grown in the optimal medium containing glucose (40 g · L(-1)), beef extract (10 g · L(-1)), and ",Applied microbiology and biotechnology,"Zhen-Yuan Zhu, Xiao-Cui Liu, Feng-Ying Dong, Ming-Zhu Guo, Xiao-Ting Wang, Zheng Wang, Yong-Min Zhang","Key Laboratory of Food Nutrition and Safety, Ministry of Education, College of Food Science and Biotechnology, Tianjin University of Science and Technology, Tianjin, 300457, People's Republic of China. zhyuanzhu@tust.edu.cn. Tianjin Food Safety & Low Carbon Manufacturing Collaborative Innovation Center, Tianjin, 300457, People's Republic of China. zhyuanzhu@tust.edu.cn. Institut Parisien de Chimie Moléculaire, Université Pierre et Marie Curie-Paris 6, UMR CNRS 8232, 4 place Jussieu, 75005, Paris, France.",2016 May; 100(9):3909-21,10.1007/s00253-015-7235-4,NULL
26756296,20150101,article,mesh,"Agaricales,Agriculture,China,Cordyceps,Genes, Mating Type, Fungal,Spores, Fungal","genetics,growth & development","D013172 Q000254 NY,D032661 Q000235 NY,D032661 Q000254 NN",NULL,NULL,"Molecular Markers to Detect the Formation of Heterokaryon and Homokaryon from Asexual Spores of the Caterpillar Medicinal Mushroom, Cordyceps militaris (Ascomycetes)","Cordyceps militaris is widely cultivated on artificial media in China; however, the cultures often are afflicted with the degeneration of nonfruiting strains. To understand the mechanism of degeneration of C. militaris, from the heterokaryotic strain into the homokaryotic strain, we examined the mating-type genes present in individual asexual spores. Further, we determined the distribution ratio of the different mating-type genes among a sample of asexual spores and the growth rate of heterokaryotic and hom",International journal of medicinal mushrooms,"Hong Wang, Tao Cai, Jing Wei, Aiping Feng, Nan Lin, Dapeng Bao","Key Laboratory of Applied Mycological Resources and Utilization, Ministry of Agriculture, People's Republic of China, and the Shanghai Biotechnology and Engineering Research Center for the Edible Fungi, Shanghai Key Laboratory of Agricultural Genetics and Breeding, Institute of Edible Fungi, Shanghai Academy of Agricultural Sciences, Shanghai, People's Republic of China.",2015; 17(9):841-6,10.1615/intjmedmushrooms.v17.i9.40,NULL
27910792,20160101,article,mesh,"Cordyceps,Fermentation,Fungal Proteins,Mycelium,Nutritive Value","chemistry,metabolism","D005656 Q000378 NY,D005656 Q000737 NN,D025282 Q000737 NY,D032661 Q000737 NY",NULL,NULL,"Optimization of Liquid Fermentation Conditions and Protein Nutrition Evaluation of Mycelium from the Caterpillar Medicinal Mushroom, Cordyceps militaris (Ascomycetes)","Cordyceps militaris is a well-known traditional Chinese medicinal mushroom. In this study, the mycelium of C. militaris was cultured using liquid fermentation technology and the culture medium components were optimized by the orthogonal test method. Our results showed that the optimal medium combination for the mycelium growth is 3% glucose, 3% peptone, 0.1% MgSO4, and 0.2% KH2PO4 The international general nutritional assessment method was applied to the overall evaluation of the protein nutrition value of ",International journal of medicinal mushrooms,"Jie Gang, Han Liu, Yanhong Liu","College of Life Science, Dalian Nationalities University, Liaoning Dalian, P. R. China. School of Agriculture, Food and Rural Development, Newcastle University, United Kingdom. Molecular Characterization of Foodborne Pathogens Research Unit, Eastern Regional Research Center, Agricultural Research Service, US Department of Agriculture, Wyndmoor, Pennsylvania, USA.",2016; 18(8):745-752,10.1615/intjmedmushrooms.v18.i8.100,NULL
30243384,20181201,article,mesh,"Amino Acid Sequence,Base Sequence,Cells, Cultured,Cloning, Molecular,Cordyceps,Fungal Proteins,Lipase,Recombinant Proteins,Substrate Specificity","enzymology,genetics,metabolism","D005656 Q000235 NN,D005656 Q000378 NY,D008049 Q000235 NN,D008049 Q000378 NY,D011994 Q000235 NN,D011994 Q000378 NY,D032661 Q000201 NY,D032661 Q000235 NN",NULL,NULL,Cloning and protein expression of the sn-1(3) regioselective lipase from Cordyceps militaris,"In this study, the gene of a novel lipase with sn-1(3) regioselectivity (i.e., sn-1 or sn-3 specific) from Cordyceps militaris was successfully expressed by a heterologous expression system. Total RNA was extracted from C. militaris and then single-stranded cDNA was synthesized. The resulting C. militaris lipase (CML) gene was inserted in Escherichia coli expression plasmids [pET-29b(+), pET-26b, and pColdIII] to construct plasmids encoding CML, which were then transformed to E. coli strains BL21 (DE3), C43",Enzyme and microbial technology,"Jung Ha Park, Kyung-Min Park, Yoonjee Chang, Jun-Young Park, Jaejoon Han, Pahn-Shick Chang","Department of Agricultural Biotechnology, Seoul National University, Seoul 08826, Republic of Korea. Department of Food Science and Biotechnology, Wonkwang University, Iksan 54538, Republic of Korea. Department of Food Biosciences and Technology, College of Life Sciences and Biotechnology, Korea University, Seoul 02841, Republic of Korea. Department of Food Biosciences and Technology, College of Life Sciences and Biotechnology, Korea University, Seoul 02841, Republic of Korea; Department of Biotechnology, C",2018 Dec; 119(?):30-36,10.1016/j.enzmictec.2018.08.008,NULL
